epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6333,0.88846,3.35624,1.24909,0.54409,0.53924,0.55681,0.44515,0.80195,1.72336,1.28258,0.000184749,0.000184749,0.000184749
2,81.5935,0.83865,1.85473,1.19533,0.85972,0.57574,0.67342,0.56106,0.76121,1.66984,1.27565,0.000362754,0.000362754,0.000362754
3,118.81,0.86241,1.61496,1.19273,0.74117,0.55112,0.61927,0.51419,0.71549,1.52945,1.19865,0.000533421,0.000533421,0.000533421
4,156.305,0.8859,1.4583,1.20057,0.81768,0.63052,0.74606,0.62345,0.7006,1.22383,1.20109,0.000522974,0.000522974,0.000522974
5,193.633,0.86144,1.34755,1.18002,0.77091,0.63333,0.74381,0.62418,0.74053,1.35649,1.26094,0.000511965,0.000511965,0.000511965
6,229.711,0.82748,1.24288,1.15394,0.81514,0.66142,0.78743,0.64899,0.6525,1.04477,1.14789,0.000500956,0.000500956,0.000500956
7,267.759,0.79843,1.11178,1.14871,0.87529,0.66279,0.79099,0.69005,0.59509,1.03113,1.08569,0.000489947,0.000489947,0.000489947
8,306.887,0.79642,1.11898,1.14611,0.91677,0.65814,0.80979,0.68485,0.60925,1.00107,1.11187,0.000478938,0.000478938,0.000478938
9,344.99,0.77737,1.01758,1.13452,0.91459,0.68613,0.84721,0.73956,0.57435,0.85876,1.08795,0.00046793,0.00046793,0.00046793
10,382.443,0.76125,0.99887,1.12421,0.88286,0.73952,0.85473,0.7291,0.594,0.90258,1.08228,0.000456921,0.000456921,0.000456921
11,419.921,0.76616,0.97627,1.13269,0.87324,0.75633,0.83176,0.71394,0.61248,0.88969,1.10119,0.000445912,0.000445912,0.000445912
12,456.432,0.73185,0.88713,1.09675,0.94621,0.69982,0.83961,0.73,0.6446,0.80509,1.1233,0.000434903,0.000434903,0.000434903
13,493.365,0.71317,0.82071,1.09462,0.916,0.79586,0.87513,0.75771,0.57083,0.75657,1.04533,0.000423894,0.000423894,0.000423894
14,530.404,0.70055,0.80259,1.07925,0.8418,0.79432,0.85065,0.74139,0.53687,0.847,1.06802,0.000412886,0.000412886,0.000412886
